from,to
T1,T2
T2,T6
T5,T6
T3,T6
T4,T7
T1,T7
T2,T7
T5,T7
T2,T8
T4,T8
T5,T8
T6,T9
T7,T9
T4,T9
T5,T9
T9,T10
T7,T10
T8,T10
T5,T10
T4,T10
T8,T11
T5,T12
T4,T12
T11,T12
T8,T13
T11,T13
T4,T13
T5,T13
T2,T14
T12,T14
T5,T14
T5,T15
T6,T16
T9,T16
T5,T18
T13,T19
T5,T20
T7,T20
T3,T20
T14,T20
T18,T20
T18,T21
T15,T21
T2,T22
T7,T22
T14,T22
T19,T23
T1,T23
T13,T23
T1,T24
T12,T24
T10,T24
T14,T25
T18,T25
T24,T25
T18,T26
T20,T26
T8,T26
T16,T26
T9,T26
T16,T27
T1,T27
T13,T27
T22,T28
T26,T28
T24,T29
T6,T29
T27,T29
T5,T30
T20,T30
T18,T30
T19,T32
T22,T32
T1,T32
T28,T34
T9,T34
T30,T34
T12,T34
T4,T34
T25,T35
T21,T35
T30,T36
T22,T37
T25,T37
T27,T38
T17,T38
T2,T40
T35,T40
T4,T40
T15,T41
T5,T41
T3,T42
T2,T42
T16,T42
T13,T42
T40,T42
T16,T43
T31,T44
T8,T45
T37,T45
T14,T45
T30,T45
T17,T45
T11,T46
T39,T46
T46,T47
T8,T47
T11,T47
T20,T47
T2,T49
T20,T49
T37,T49
T44,T49
T26,T50
T46,T50
T13,T50
T45,T52
T41,T52
T16,T52
T7,T52
T50,T53
T20,T53
T44,T53
T39,T53
T52,T53
T51,T55
T3,T55
T23,T55
T35,T55
T43,T56
T24,T56
T5,T56
T42,T57
T22,T57
T1,T57
T55,T57
T53,T58
T32,T58
T7,T58
T24,T59
T41,T59
T58,T59
T46,T60
T10,T60
T28,T60
T47,T61
T42,T62
T18,T62
T40,T62
T52,T62
T50,T63
T31,T63
T30,T63
T28,T63
T38,T64
T18,T64
T21,T64
T55,T64
T16,T64
T58,T66
T32,T66
T49,T67
T44,T67
T4,T67
T42,T68
T24,T68
T63,T68
T46,T69
T44,T70
T36,T70
T36,T71
T2,T71
T67,T71
T25,T71
T53,T73
T72,T74
T31,T74
T61,T74
T63,T75
T58,T75
T3,T75
T12,T75
T38,T75
T52,T76
T32,T77
T40,T77
T75,T77
T48,T77
T61,T77
T68,T78
T45,T78
T55,T78
T71,T78
T46,T79
T59,T79
T40,T80
T33,T80
T16,T81
T25,T82
T41,T82
T16,T82
T69,T82
T24,T82
T28,T83
T62,T84
T36,T84
T76,T84
T68,T84
T77,T84
T13,T85
T25,T85
T30,T86
T47,T86
T39,T87
T69,T89
T17,T89
T36,T89
T6,T89
T7,T89
T38,T90
T17,T90
T82,T90
T63,T90
T37,T93
T61,T93
T62,T93
T57,T93
T24,T94
T7,T94
T62,T95
T15,T95
T63,T97
T10,T97
T74,T97
T88,T98
T7,T98
T20,T98
T73,T98
T39,T98
T16,T100
T98,T101
T54,T101
T78,T101
T77,T101
T29,T102
T100,T102
T67,T102
T49,T102
T57,T103
T39,T103
T76,T103
T40,T104
T73,T104
T80,T104
T95,T106
T13,T106
T98,T106
T27,T106
T28,T107
T34,T107
T85,T107
T11,T107
T21,T107
T23,T108
T10,T109
T21,T109
T1,T109
T53,T109
T89,T110
T77,T110
T61,T110
T5,T111
T30,T111
T91,T112
T37,T112
T111,T113
T59,T113
T10,T113
T88,T113
T30,T113
T101,T114
T102,T114
T76,T115
T85,T115
T103,T115
T26,T115
T55,T115
T29,T117
T83,T117
T20,T117
T35,T117
T10,T118
T102,T120
T77,T121
T96,T121
T118,T122
T37,T122
T57,T122
T16,T122
T89,T123
T39,T123
T90,T123
T121,T124
T35,T124
T65,T124
T64,T125
T57,T125
T11,T125
T77,T125
T95,T127
T42,T127
T78,T127
T4,T128
T12,T128
T6,T129
T69,T130
T11,T130
T45,T130
T121,T130
T114,T130
T47,T131
T112,T131
T126,T132
T24,T132
T121,T132
T90,T132
T105,T132
T83,T133
T27,T133
T85,T134
T127,T135
T74,T135
T103,T135
T10,T136
T117,T136
T23,T136
T81,T136
T83,T137
T30,T137
T132,T138
T1,T138
T119,T138
T14,T139
T49,T139
T133,T139
T128,T140
T114,T140
T69,T142
T34,T143
T74,T143
T113,T143
T125,T143
T62,T146
T41,T146
T80,T146
T142,T146
T4,T146
T105,T147
T24,T147
T58,T147
T30,T147
T31,T148
T40,T148
T128,T148
T75,T149
T131,T149
T70,T149
T107,T149
T124,T149
T63,T150
T117,T150
T142,T150
T99,T151
T131,T152
T35,T153
T18,T153
T71,T153
T107,T153
T88,T153
T69,T154
T1,T154
T73,T154
T77,T154
T149,T155
T126,T155
T39,T155
T115,T155
T124,T156
T89,T156
T86,T156
T142,T156
T97,T157
T117,T157
T83,T157
T49,T157
T62,T158
T147,T158
T99,T158
T60,T158
T106,T158
T122,T160
T98,T160
T39,T161
T127,T161
T10,T161
T129,T162
T85,T163
T26,T163
T113,T163
T135,T163
T4,T164
T37,T164
T105,T164
T40,T165
T20,T165
T121,T165
T68,T165
T87,T165
T102,T166
T21,T166
T85,T166
T137,T166
T82,T167
T161,T167
T125,T167
T10,T168
T159,T168
T18,T168
T61,T168
T74,T169
T59,T169
T24,T169
T112,T169
T26,T169
T26,T170
T114,T170
T43,T170
T77,T170
T8,T170
T15,T172
T76,T172
T96,T173
T111,T173
T63,T174
T106,T175
T145,T175
T47,T175
T44,T175
T21,T176
T98,T177
T159,T177
T175,T177
T62,T177
T150,T178
T37,T178
T60,T178
T164,T179
T66,T179
T118,T179
T171,T180
T3,T180
T74,T181
T174,T181
T140,T181
T19,T182
T89,T183
T151,T183
T77,T183
T109,T184
T177,T184
T65,T184
T117,T184
T78,T184
T99,T185
T28,T186
T61,T186
T98,T186
T92,T187
T148,T187
T76,T187
T180,T187
T6,T188
T169,T188
T71,T189
T3,T189
T145,T189
T13,T190
T156,T190
T128,T190
T74,T190
T59,T190
T91,T191
T57,T191
T163,T191
T49,T191
T65,T192
T174,T192
T185,T192
T169,T192
T36,T193
T161,T193
T25,T193
T166,T193
T11,T193
T113,T194
T9,T194
T94,T195
T188,T195
T34,T195
T24,T195
T84,T196
T192,T196
T45,T197
T52,T197
T34,T197
T94,T198
T136,T198
T129,T198
T70,T198
T66,T199
T76,T200
T192,T200
T87,T200
T20,T202
T37,T202
T194,T202
T174,T203
T173,T204
T102,T204
T143,T204
T94,T204
T24,T204
T4,T205
T68,T205
T138,T205
T95,T207
T173,T207
T192,T207
T68,T208
T150,T208
T98,T208
T164,T208
T96,T208
T60,T210
T121,T210
T7,T210
T159,T210
T144,T210
T157,T211
T57,T211
T17,T212
T163,T212
T211,T212
T119,T212
T180,T212
T167,T213
T105,T213
T12,T215
T127,T217
T30,T217
T138,T219
T100,T220
T95,T221
T172,T221
T191,T221
T139,T222
T108,T222
T151,T222
T191,T222
T187,T222
T107,T223
T26,T224
T214,T224
T126,T224
T158,T224
T105,T224
T9,T225
T177,T225
T56,T226
T114,T226
T61,T227
T219,T227
T93,T227
T95,T229
T140,T229
T166,T229
T92,T229
T16,T229
T71,T230
T49,T230
T32,T230
T24,T231
T170,T231
T55,T231
T164,T232
T153,T232
T6,T232
T13,T232
T202,T232
T63,T233
T33,T233
T53,T234
T18,T234
T213,T234
T196,T234
T54,T235
T151,T235
T56,T235
T209,T235
T85,T236
T202,T237
T1,T238
T71,T238
T220,T238
T38,T238
T139,T239
T205,T240
T45,T240
T222,T242
T7,T242
T34,T242
T4,T242
T92,T242
T151,T243
T5,T244
T45,T244
T14,T245
T33,T245
T108,T246
T135,T246
T30,T246
T191,T246
T17,T246
T115,T247
T200,T247
T93,T247
T152,T248
T28,T248
T116,T248
T129,T248
T243,T249
T12,T250
T187,T250
T201,T250
T233,T250
T134,T251
T78,T251
T118,T251
T165,T251
T247,T251
T217,T254
T103,T254
T110,T254
T28,T255
T126,T255
T183,T255
T233,T255
T114,T255
T76,T258
T34,T258
T141,T259
T167,T260
T196,T260
T151,T260
T233,T260
T221,T261
T51,T261
T59,T261
T111,T261
T232,T262
T117,T262
T212,T262
T233,T263
T205,T263
T49,T264
T161,T264
T219,T264
T131,T265
T192,T265
T243,T266
T50,T271
T191,T271
T67,T271
T31,T272
T169,T272
T63,T272
T211,T272
T217,T273
T27,T273
T160,T274
T181,T274
T260,T276
T109,T276
T80,T276
T247,T276
T56,T277
T189,T278
T59,T278
T116,T279
T220,T279
T14,T280
T137,T280
T15,T280
T93,T280
T159,T281
T174,T281
T4,T282
T93,T282
T206,T283
T16,T285
T272,T287
T111,T287
T193,T287
T215,T287
T233,T287
T81,T288
T190,T288
T167,T289
T44,T289
T81,T291
T26,T292
T42,T292
T140,T292
T227,T292
T218,T293
T249,T293
T227,T293
T213,T293
T140,T293
T263,T294
T221,T296
T57,T296
T250,T297
T270,T297
T158,T298
T24,T298
T113,T298
T203,T298
T29,T298
T155,T300
T71,T301
T149,T302
T168,T302
T221,T305
T90,T305
T67,T305
T273,T306
T118,T306
T257,T306
T182,T307
T37,T307
T204,T307
T22,T307
T10,T308
T236,T308
T40,T308
T295,T309
T220,T309
T208,T310
T214,T310
T149,T310
T59,T310
T11,T311
T167,T311
T88,T311
T236,T312
T186,T312
T46,T312
T224,T312
T224,T314
T206,T315
T269,T315
T41,T315
T203,T315
T174,T316
T114,T316
T87,T317
T40,T317
T59,T318
T272,T318
T262,T318
T100,T318
T180,T319
T76,T319
T53,T320
T132,T321
T89,T322
T79,T323
T39,T323
T91,T323
T322,T323
T238,T324
T289,T324
T297,T324
T290,T325
T320,T325
T166,T325
T162,T326
T78,T326
T226,T326
T35,T326
T241,T326
T324,T327
T156,T327
T141,T327
T29,T328
T181,T328
T260,T328
T38,T328
T237,T329
T232,T329
T147,T332
T40,T332
T47,T333
T315,T333
T305,T333
T260,T333
T197,T333
T298,T334
T284,T334
T22,T334
T293,T335
T334,T335
T97,T335
T310,T336
T244,T336
T78,T337
T32,T337
T231,T337
T53,T337
T44,T338
T259,T338
T89,T339
T21,T339
T127,T339
T225,T339
T269,T339
T313,T340
T82,T340
T187,T340
T191,T340
T199,T341
